Time;Latitude;Longitude;Altitude;Speed;row;pitch;yaw
263,628373;-6,9813233;107,5692645;750,78;193.197.900.000.000;-136.000.000.000.000;669.000.000.000.000;251.120.000.000.000
263,82843;-6,9813496;107,5692873;750,98;194.098.500.000.000;-126.000.000.000.000;669.000.000.000.000;251.040.000.000.000
264,028728;-6,9813762;107,5693104;751,26;196.930.600.000.000;-119.000.000.000.000;660.000.000.000.000;250.980.000.000.000
264,228728;-6,9814034;107,5693336;751,52;197.778.900.000.000;-114.000.000.000.000;649.000.000.000.000;250.970.000.000.000
264,428326;-6,9814313;107,5693567;751,69;203.425.000.000.000;-117.000.000.000.000;635.000.000.000.000;250.980.000.000.000
264,628742;-6,9814595;107,5693795;751,68;203.419.800.000.000;-132.000.000.000.000;616.000.000.000.000;251
264,828593;-6,9814881;107,5694023;751,66;206.810.200.000.000;-149.000.000.000.000;594.000.000.000.000;251.050.000.000.000
265,028641;-6,9815168;107,5694257;751,77;209.793.300.000.000;-165.000.000.000.000;574.000.000.000.000;251.110.000.000.000
265,228372;-6,9815459;107,5694496;752,02;211.038.100.000.000;-178.000.000.000.000;559.000.000.000.000;251.170.000.000.000
265,428718;-6,9815756;107,5694737;752,38;213.132.000.000.000;-185.000.000.000.000;551.000.000.000.000;251.210.000.000.000
265,628476;-6,9816056;107,5694974;752,48;209.836.900.000.000;-190.000.000.000.000;544.000.000.000.000;251.190.000.000.000
265,848195;-6,9816358;107,5695211;752,78;213.856.100.000.000;-194.000.000.000.000;541.000.000.000.000;251.100.000.000.000
266,028372;-6,9816663;107,569545;753,08;214.215.600.000.000;-192.000.000.000.000;541.000.000.000.000;250.930.000.000.000
266,228734;-6,9816966;107,5695686;753,43;213.911.600.000.000;-184.000.000.000.000;540.000.000.000.000;250.720.000.000.000
266,428426;-6,981727;107,5695921;753,76;213.862.400.000.000;-175.000.000.000.000;544.000.000.000.000;250.480.000.000.000
266,628596;-6,9817573;107,5696157;754,2;214.743.900.000.000;-170.000.000.000.000;552.000.000.000.000;250.240.000.000.000
266,828312;-6,9817877;107,5696395;754,59;214.848.300.000.000;-171.000.000.000.000;561.000.000.000.000;250.030.000.000.000
267,048217;-6,9818179;107,5696637;754,94;215.556.000.000.000;-175.000.000.000.000;565.000.000.000.000;249.880.000.000.000
267,228421;-6,9818479;107,5696885;755,36;217.511.800.000.000;-182.000.000.000.000;565.000.000.000.000;249.790.000.000.000
267,428615;-6,9818781;107,5697133;755,7;216.486.100.000.000;-185.000.000.000.000;563.000.000.000.000;249.740.000.000.000
267,628629;-6,9819082;107,5697385;756,08;219.655.800.000.000;-178.000.000.000.000;552.000.000.000.000;249.730.000.000.000
267,828627;-6,9819384;107,5697642;756,4;219.503.300.000.000;-162.000.000.000.000;539.000.000.000.000;249.740.000.000.000
268,028644;-6,9819688;107,5697898;756,73;221.184.700.000.000;-146.000.000.000.000;529.000.000.000.000;249.710.000.000.000
268,228553;-6,9819995;107,5698157;756,95;222.071.900.000.000;-132.000.000.000.000;520.000.000.000.000;249.610.000.000.000
268,428628;-6,9820299;107,5698417;757,28;221.934.100.000.000;-127.000.000.000.000;511.000.000.000.000;249.440.000.000.000
268,628649;-6,9820604;107,5698683;757,6;226.739.100.000.000;-135.000.000.000.000;508.000.000.000.000;249.200.000.000.000
268,828318;-6,9820907;107,5698953;758,03;225.933.900.000.000;-155.000.000.000.000;518.000.000.000.000;248.990.000.000.000
269,028314;-6,9821211;107,5699224;758,42;224.282.300.000.000;-177.000.000.000.000;536.000.000.000.000;248.920.000.000.000
